Area,Bedrooms,Bathrooms,Age,Distance_City_Center,Nearby_Schools,Property_Tax,Neighborhood,Garage,Pool,House_Price
2440,4,3,4,3.2,5,5180,Luxury,Yes,No,578000
1600,2,1,15,8.7,2,3080,Budget,No,No,272000
2840,4,3,2,2.0,5,6350,Luxury,Yes,Yes,758000
1780,3,2,10,6.5,3,3680,Standard,No,No,355000
3020,5,4,2,1.7,6,6980,Luxury,Yes,Yes,832000
1650,2,1,14,8.4,2,3250,Budget,No,No,280000
2090,3,2,6,4.0,4,4220,Standard,Yes,No,425000
1710,3,2,11,7.1,2,3480,Standard,No,No,340000
3280,5,4,1,1.4,7,7750,Luxury,Yes,Yes,928000
1910,3,2,8,5.3,3,3830,Standard,Yes,No,392000
2320,4,3,4,3.4,4,4930,Luxury,Yes,No,552000
1500,2,1,18,10.4,1,2820,Budget,No,No,235000
2710,4,3,3,2.4,5,5900,Luxury,Yes,Yes,695000
1820,3,2,9,6.3,3,3760,Standard,Yes,No,368000
2970,4,3,2,1.9,6,6720,Luxury,Yes,Yes,812000
1590,2,1,16,9.4,2,3020,Budget,No,No,258000
2130,3,2,5,3.7,4,4380,Standard,Yes,No,438000
1740,3,2,10,6.8,2,3580,Standard,No,No,348000
3160,5,4,2,1.5,6,7380,Luxury,Yes,Yes,892000
1870,3,2,8,5.5,3,3910,Standard,Yes,No,388000
2370,4,3,4,3.3,5,5000,Luxury,Yes,No,568000
1480,2,1,19,11.1,1,2780,Budget,No,No,230000
2740,4,3,3,2.2,5,5980,Luxury,Yes,Yes,705000
1850,3,2,9,6.4,3,3800,Standard,Yes,No,378000
3420,5,4,1,1.1,7,8150,Luxury,Yes,Yes,972000
1680,2,2,13,7.8,2,3400,Budget,Yes,No,298000
2150,3,2,5,3.8,4,4420,Standard,Yes,No,445000
1550,2,1,17,9.7,1,2980,Budget,No,No,248000
2660,4,3,3,2.7,5,5680,Luxury,Yes,Yes,682000
1980,3,2,7,4.6,3,4020,Standard,Yes,No,412000
2480,4,3,4,3.1,5,5230,Luxury,Yes,No,588000
1620,2,1,15,8.9,2,3120,Budget,No,No,278000
2900,4,3,2,2.1,5,6480,Luxury,Yes,Yes,775000
1800,3,2,10,6.6,3,3720,Standard,No,No,362000
3080,5,4,2,1.6,6,7120,Luxury,Yes,Yes,852000
1640,2,1,14,8.2,2,3230,Budget,No,No,285000
2070,3,2,6,4.2,4,4180,Standard,Yes,No,420000
1720,3,2,11,7.0,2,3520,Standard,No,No,345000
3320,5,4,1,1.3,7,7850,Luxury,Yes,Yes,942000
1890,3,2,8,5.4,3,3860,Standard,Yes,No,390000
2310,4,3,4,3.5,4,4920,Luxury,Yes,No,550000
1510,2,1,18,10.6,1,2840,Budget,No,No,238000
2700,4,3,3,2.5,5,5880,Luxury,Yes,Yes,692000
1830,3,2,9,6.1,3,3770,Standard,Yes,No,370000
2960,4,3,2,1.8,6,6680,Luxury,Yes,Yes,802000
1600,2,1,16,9.0,2,3050,Budget,No,No,262000
2170,3,2,5,3.7,4,4470,Standard,Yes,No,452000
1760,3,2,10,6.9,2,3620,Standard,No,No,352000
3200,5,4,2,1.5,6,7500,Luxury,Yes,Yes,905000
1880,3,2,8,5.7,3,3920,Standard,Yes,No,395000
2390,4,3,4,3.2,5,5030,Luxury,Yes,No,575000
1490,2,1,19,11.4,1,2790,Budget,No,No,232000
2760,4,3,3,2.3,5,6020,Luxury,Yes,Yes,712000
1840,3,2,9,6.5,3,3790,Standard,Yes,No,375000
3360,5,4,1,1.2,7,8050,Luxury,Yes,Yes,962000
1690,2,2,13,7.6,2,3420,Budget,Yes,No,302000
2120,3,2,5,4.0,4,4320,Standard,Yes,No,435000
1560,2,1,17,9.5,1,2960,Budget,No,No,252000
2680,4,3,3,2.6,5,5720,Luxury,Yes,Yes,685000
1990,3,2,7,4.5,3,4050,Standard,Yes,No,415000
2500,4,3,4,3.0,5,5280,Luxury,Yes,No,595000
1630,2,1,15,8.6,2,3150,Budget,No,No,282000
2920,4,3,2,2.0,5,6520,Luxury,Yes,Yes,782000
1810,3,2,10,6.7,3,3740,Standard,No,No,365000
3100,5,4,2,1.6,6,7180,Luxury,Yes,Yes,862000
1660,2,1,14,8.1,2,3280,Budget,No,No,288000
2100,3,2,6,3.9,4,4240,Standard,Yes,No,428000
1730,3,2,11,6.9,2,3540,Standard,No,No,348000
3340,5,4,1,1.3,7,7920,Luxury,Yes,Yes,952000
1920,3,2,8,5.1,3,3890,Standard,Yes,No,398000
2350,4,3,4,3.4,4,4980,Luxury,Yes,No,562000
1520,2,1,18,10.3,1,2860,Budget,No,No,242000
2730,4,3,3,2.4,5,5950,Luxury,Yes,Yes,702000
1850,3,2,9,6.2,3,3810,Standard,Yes,No,378000
2990,4,3,2,1.9,6,6750,Luxury,Yes,Yes,818000
1610,2,1,16,9.1,2,3080,Budget,No,No,265000
2190,3,2,5,3.6,4,4510,Standard,Yes,No,458000
1770,3,2,10,6.6,2,3640,Standard,No,No,358000
3220,5,4,2,1.5,6,7550,Luxury,Yes,Yes,912000
1900,3,2,8,5.6,3,3950,Standard,Yes,No,402000
2420,4,3,4,3.1,5,5120,Luxury,Yes,No,585000
1510,2,1,19,11.0,1,2820,Budget,No,No,238000
2800,4,3,3,2.2,5,6100,Luxury,Yes,Yes,725000
1860,3,2,9,6.3,3,3830,Standard,Yes,No,382000
3450,5,4,1,1.0,7,8200,Luxury,Yes,Yes,985000
1700,2,2,13,7.5,2,3450,Budget,Yes,No,308000
